name,slug,description,price,costPrice,stock,minStock,categorySlug,packageCategory,maxWeightGrams,maxLengthCm,maxWidthCm,maxHeightCm,volumeScore,allowedVehicles
CACHAFAZ INTEGRAL ALGARROBA 225gr,cachafaz-integral-algarroba-225gr,Cachafaz Integral Algarroba 225Gr,3100,2015,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CACHAFAZ INTEGRAL CHIPS 225gr,cachafaz-integral-chips-225gr,Cachafaz Integral Chips 225Gr,4100,2665,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CACHAFAZ INTEGRAL ALMENDRAS 225gr,cachafaz-integral-almendras-225gr,Cachafaz Integral Almendras 225Gr,3500,2275,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CACHAFAZ ORG. AVENA Y MIEL 170gr,cachafaz-org-avena-y-miel-170gr,Cachafaz Org. Avena Y Miel 170Gr,2700,1755,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CACHAFAZ ORG. CACAO Y MIEL 170gr,cachafaz-org-cacao-y-miel-170gr,Cachafaz Org. Cacao Y Miel 170Gr,2600,1690,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
GATA FLORA MALBEC 750ml,gata-flora-malbec-750ml,Gata Flora Malbec 750Ml,14900,9685,100,5,bebidas,MEDIUM,900,32,11,11,6,MOTO|CAR
XTREME CAR.ACIDO 25gr,xtreme-caracido-25gr,Xtreme Car.Acido 25Gr,1000,650,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
HEROE PRIMAVERA 900 ML,heroe-primavera-900-ml,Heroe Primavera 900 Ml,1800,1170,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
HEROE PINO SILVESTRE 900 ML,heroe-pino-silvestre-900-ml,Heroe Pino Silvestre 900 Ml,1800,1170,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
HERORE ULTRA DETERGENTE 300ml,herore-ultra-detergente-300ml,Herore Ultra Detergente 300Ml,2200,1430,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
DURAZNOS EN MITADES ALCO 820gr,duraznos-en-mitades-alco-820gr,Duraznos En Mitades Alco 820Gr,2800,1820,100,5,bebidas,MICRO,200,15,8,5,1,BIKE|MOTO
DURAZNO EN MITADES 820gr,durazno-en-mitades-820gr,Durazno En Mitades 820Gr,2800,1820,100,5,bebidas,MICRO,200,15,8,5,1,BIKE|MOTO
PETACA VODKA DE MELON NEW STYLE 200ml,petaca-vodka-de-melon-new-style-200ml,Petaca Vodka De Melon New Style 200Ml,2600,1690,100,5,bebidas,MICRO,250,12,5,5,1,BIKE|MOTO
VINAGRE DE ALCOHOL MOLTO X500ml,vinagre-de-alcohol-molto-x500ml,Vinagre De Alcohol Molto X500Ml,1600,1040,100,5,farmacia,MICRO,540,23,7,7,1,BIKE|MOTO
ATUN CASCABEL D-M ACEITE 170 GR,atun-cascabel-d-m-aceite-170-gr,Atun Cascabel D-M Aceite 170 Gr,2400,1560,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
FIDEO MOLTO DEADALON 500 GR,fideo-molto-deadalon-500-gr,Fideo Molto Deadalon 500 Gr,2000,1300,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
MOLTO MANTECA ACEITE 120mg,molto-manteca-aceite-120mg,Molto Manteca Aceite 120Mg,5000,3250,100,5,supermercado,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
ACEITE DE OLIVA MOLTO 250gr,aceite-de-oliva-molto-250gr,Aceite De Oliva Molto 250Gr,11200,7280,100,5,supermercado,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
MOLTO ACEITE OLIVA AEROSOL 120cc,molto-aceite-oliva-aerosol-120cc,Molto Aceite Oliva Aerosol 120Cc,7000,4550,100,5,supermercado,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
PATE DE FOITE MOLTO 90 GR,pate-de-foite-molto-90-gr,Pate De Foite Molto 90 Gr,1200,780,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
FIDEO SANTA ISABEL SPAGUETTI 500 GR,fideo-santa-isabel-spaguetti-500-gr,Fideo Santa Isabel Spaguetti 500 Gr,1500,975,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
FIDEOS SANTA ISABEL TIRABUZON 500 GR,fideos-santa-isabel-tirabuzon-500-gr,Fideos Santa Isabel Tirabuzon 500 Gr,1500,975,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
TAFIROL 1G 1U,tafirol-1g-1u,Tafirol 1G 1U,500,325,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
TAFIROL PLUS 2U,tafirol-plus-2u,Tafirol Plus 2U,1500,975,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CUTTER 3HOJAS,cutter-3hojas,Cutter 3Hojas,9200,5980,100,5,kiosco,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
EUGENIO CABERNET SAUV.,eugenio-cabernet-sauv,Eugenio Cabernet Sauv.,11200,7280,100,5,bebidas,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
LA PROVIDENCIA X3 303gr,la-providencia-x3-303gr,La Providencia X3 303Gr,2400,1560,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
BERLINA PSB 473ml,berlina-psb-473ml,Berlina Psb 473Ml,3000,1950,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
BERLINA IPA 473ml,berlina-ipa-473ml,Berlina Ipa 473Ml,3000,1950,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
VELA CUMPLEAÑOS,vela-cumpleanos,Vela Cumpleaños,4200,2730,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
KING BERRY FRAMBUEZA 120G,king-berry-frambueza-120g,King Berry Frambueza 120G,9300,6045,100,5,kiosco,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
